"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15"
"All Entities.NVACost","OUTPUT VALUE","NVA Cost","System","All Entities",84.6016600450959,84.720503001028,82.8558587989633,83.0183224636703,82.6216968913061,83.6401012513549,83.3689989481248,83.523667672656,83.494575786218,84.4196866310972,83.6292010001884,83.4255826821194,84.5540889089589,82.6553750708055,83.5978817669963
"All Entities.OtherCost","OUTPUT VALUE","Other Cost","System","All Entities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All Entities.TotalCost","OUTPUT VALUE","Total Cost","System","All Entities",1441.32044772427,1479.78082379316,1273.4546928552,1408.6580016805,1410.99913662132,1471.70294741243,1383.0818745376,1301.00741020754,1431.82964010136,1477.19690248826,1562.70779845114,1545.21158857468,1557.68233584484,1363.87646426126,1491.11471888715
"All Entities.TranCost","OUTPUT VALUE","Tran Cost","System","All Entities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All Entities.VACost","OUTPUT VALUE","VA Cost","System","All Entities",475.785151246329,477.688326063269,487.227207162725,472.531105655963,486.511582204113,476.43660045381,459.784198681433,455.376264318423,460.169016531717,476.456322557675,491.700832610264,476.337841990973,495.18282036123,472.862103888527,462.091496350963
"All Entities.WaitCost","OUTPUT VALUE","Wait Cost","System","All Entities",880.933636432847,917.37199472886,703.371626893516,853.108573560872,841.865857525897,911.62624570727,839.928676908042,762.107478216463,888.166047783429,916.320893299487,987.377764840684,985.448163901587,977.945426574647,808.358985301924,945.425340769192
"All Resources.BusyCost","OUTPUT VALUE","Busy Cost","System","All Resources",68.8869025458959,69.7724068399979,69.3493724337905,67.8181406919776,68.6301746315485,68.5277063446063,67.0882503134598,65.9240262123205,67.2684294087551,68.5590468038129,69.727661630363,68.4494498369915,70.2172983259269,68.0454497520104,67.2699628740056
"All Resources.IdleCost","OUTPUT VALUE","Idle Cost","System","All Resources",38.9511424161428,38.146297149927,38.1692344963813,39.9052258087856,39.4823551469821,40.3895240156453,40.3762284934758,41.36364919453,41.9689218270806,39.9963179731414,38.2050591600506,40.0602718752536,37.4251462913479,39.5581880463869,41.1081913034758
"All Resources.TotalCost","OUTPUT VALUE","Total Cost","System","All Resources",502.838044962039,503.918703989925,513.518606930172,500.723366500763,514.11252977853,504.917230360251,488.464478806935,485.28767540685,490.237351235836,504.555364776955,517.932720790413,504.509721712245,520.642444617275,500.603637798398,491.378154177481
"All Resources.UsageCost","OUTPUT VALUE","Usage Cost","System","All Resources",395,396,406,393,406,396,381,378,381,396,410,396,413,393,383
"Encargado.BusyCost","OUTPUT VALUE","Busy Cost","Resource","Encargado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Encargado.IdleCost","OUTPUT VALUE","Idle Cost","Resource","Encargado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Encargado.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Encargado",34,40,36,39,37,42,35,35,41,39,39,37,40,40,36
"Encargado.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Encargado",0.963794619135746,0.965633804530357,0.96955189613708,0.954746914012445,0.958732877607683,0.960915188188615,0.958715958331183,0.970271109425157,0.965552536064068,0.96324647699575,0.964774904094871,0.96096938384709,0.962884371299924,0.966023679322316,0.969418070013633
"Encargado.UsageCost","OUTPUT VALUE","Usage Cost","Resource","Encargado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fresador.BusyCost","OUTPUT VALUE","Busy Cost","Resource","Fresador",39.6608290014431,39.719730744237,39.5927824297822,39.0432165466169,39.6046919085506,39.6963136973472,38.9864945599136,38.1741270203436,39.6686237432084,39.6575858462064,39.9105699330046,39.6279738466053,39.8850734510102,39.3888471217211,39.4051115898575
"Fresador.IdleCost","OUTPUT VALUE","Idle Cost","Resource","Fresador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fresador.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Fresador",81,80,82,80,82,80,77,77,77,80,84,80,84,80,78
"Fresador.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Fresador",1,1,0.996695525421123,0.978868155868854,0.997685971319709,0.998508143429964,0.976041832088987,0.966069351585619,0.996930961317305,1,1,1,0.999019837742813,0.997510776769312,0.991489359593679
"Fresador.UsageCost","OUTPUT VALUE","Usage Cost","Resource","Fresador",162,160,164,160,164,160,154,154,154,160,168,160,168,160,156
"pieza.NumberIn","OUTPUT VALUE","Number In","Entity","pieza",95,103,97,97,98,108,97,94,97,94,88,103,91,95,107
"pieza.NumberOut","OUTPUT VALUE","Number Out","Entity","pieza",33,39,35,38,36,41,34,34,40,38,38,36,39,39,35
"Pulidor 2.BusyCost","OUTPUT VALUE","Busy Cost","Resource","Pulidor 2",3.69212306749726,5.2227605533934,4.62668260112999,4.05110585209909,3.91825208725832,4.46536225186238,2.8832437169063,2.78197685037603,4.25366647097198,4.63190334203997,4.77169030335611,4.34608150787168,4.11890697457431,3.55796908405208,3.75758219566984
"Pulidor 2.IdleCost","OUTPUT VALUE","Idle Cost","Resource","Pulidor 2",27.077169243337,25.0363192621421,25.83108986516,26.5985255305345,26.7756638836556,26.0461836641835,28.0517143152057,28.290697532832,26.3284447053707,25.82412887728,25.6377462621919,26.2052246561711,26.5081240339009,27.2560412212639,26.9898904057735
"Pulidor 2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Pulidor 2",15,20,19,17,16,18,12,11,16,19,20,17,17,14,15
"Pulidor 2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Pulidor 2",0.153838461145719,0.217615023058058,0.19277844171375,0.168796077170796,0.163260503635763,0.186056760494266,0.123383927649822,0.115915702099001,0.177236102957166,0.192995972584999,0.198820429306504,0.181086729494653,0.171621123940597,0.148248711835503,0.156565924819577
"Pulidor 2.UsageCost","OUTPUT VALUE","Usage Cost","Resource","Pulidor 2",15,20,19,17,16,18,12,11,16,19,20,17,17,14,15
"Pulidor.BusyCost","OUTPUT VALUE","Busy Cost","Resource","Pulidor",15.5467550056289,14.9615746584615,15.0203110885734,15.0359500173823,15.0783886564437,14.9687679292165,15.2087156171962,15.3238338308084,13.9925541951936,14.7584585483577,15.1089135716419,14.9878365662953,16.1808173271993,15.081657372383,14.5965298267009
"Pulidor.IdleCost","OUTPUT VALUE","Idle Cost","Resource","Pulidor",11.0711956181581,12.0512337887181,11.798669252025,11.7870682051725,11.8695909128945,12.0346072736086,11.4571516111739,11.4312609725424,13.2760680451054,12.2070975443435,11.8547819044774,11.863757185618,10.221788188462,11.620907608846,12.2683605176414
"Pulidor.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Pulidor",62,58,61,60,64,60,63,63,59,59,60,61,64,63,60
"Pulidor.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Pulidor",0.65402513693256,0.62339894410256,0.63129158587422,0.631654118588359,0.629075283972046,0.623918522699733,0.641964012150815,0.642773094608051,0.585122873590457,0.618528201739265,0.629538065485081,0.629257587949438,0.680569119110561,0.636846637223561,0.616613733823706
"Pulidor.UsageCost","OUTPUT VALUE","Usage Cost","Resource","Pulidor",62,58,61,60,64,60,63,63,59,59,60,61,64,63,60
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",33,39,35,38,36,41,34,34,40,38,38,36,39,39,35
"System.TotalCost","OUTPUT VALUE","Total Cost","System","System",1480.27159014041,1517.92712094308,1311.62392735159,1448.56322748929,1450.4814917683,1512.09247142808,1423.45810303108,1342.37105940207,1473.79856192844,1517.1932204614,1600.91285761119,1585.27186044993,1595.10748213618,1403.43465230764,1532.22291019063
"Taladrador.BusyCost","OUTPUT VALUE","Busy Cost","Resource","Taladrador",9.98719547132659,9.86834088390602,10.1095963143049,9.68786827587935,10.0288419792958,9.39726246618021,10.0097964194437,9.64408851079245,9.35358499938116,9.51109906720889,9.93648782236033,9.48755791621921,10.0325005731431,10.0169761738542,9.51073926177745
"Taladrador.IdleCost","OUTPUT VALUE","Idle Cost","Resource","Taladrador",0.802777554647704,1.05874409906677,0.539475379196309,1.51963207307856,0.837100350431984,2.30873307785326,0.867362567096218,1.64169068915566,2.36440907660456,1.96509155151786,0.712530993381362,1.9912900334645,0.695234068984945,0.681239216277001,1.84994038006088
"Taladrador.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Taladrador",78,79,81,78,81,79,76,75,76,79,81,79,82,78,76
"Taladrador.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Taladrador",0.966550935223012,0.955885662538885,0.977521859200154,0.93668199695506,0.965120818732,0.903802788422781,0.963859893037657,0.931596221285181,0.901482955141477,0.918121185353422,0.97031120860911,0.917029581938979,0.971031913792294,0.971615032655125,0.922919150830797
"Taladrador.UsageCost","OUTPUT VALUE","Usage Cost","Resource","Taladrador",156,158,162,156,162,158,152,150,152,158,162,158,164,156,152
"Encargado.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Encargado",0.963794619135746,0.965633804530357,0.96955189613708,0.954746914012445,0.958732877607683,0.960915188188615,0.958715958331183,0.970271109425157,0.965552536064068,0.96324647699575,0.964774904094871,0.96096938384709,0.962884371299924,0.966023679322316,0.969418070013633
"Encargado.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Encargado",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Encargado.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Encargado",0.963794619135746,0.965633804530357,0.96955189613708,0.954746914012445,0.958732877607683,0.960915188188615,0.958715958331183,0.970271109425157,0.965552536064068,0.96324647699575,0.964774904094871,0.96096938384709,0.962884371299924,0.966023679322316,0.969418070013633
"ESPERA FINAL.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","ESPERA FINAL.Queue",20.390541113753,17.6473985152634,18.1376669966836,16.8592666118725,19.4903761226838,16.526266607186,17.4273978702088,17.2236912001726,15.2761994688071,18.679709409759,20.9088521569753,19.9024688450291,19.9100456125008,16.465913725978,18.2881932213436
"ESPERA FINAL.Queue.WaitingCost","TALLY AVERAGE","Waiting Cost","Queue","ESPERA FINAL.Queue",23.6044069103748,19.9871332382969,17.8997491562294,19.2249256675494,20.5447265756861,19.4676408832548,20.8400122961496,19.9582434159019,18.105173389543,21.0977779980894,23.7533440236765,24.0362965349743,22.4559197881665,18.3534018618081,22.1065975947048
"ESPERA FINAL.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","ESPERA FINAL.Queue",2.14585517367044,1.81701211257245,1.62724992329358,1.74772051523176,1.86770241597147,1.76978553484135,1.89454657237724,1.81438576508199,1.64592485359482,1.91797981800813,2.15939491124332,2.18511786681584,2.04144725346968,1.66849107834619,2.00969069042771
"Fresador.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Fresador",1,1,0.996695525421123,0.978868155868854,0.997685971319709,0.998508143429964,0.976041832088987,0.966069351585619,0.996930961317305,1,1,1,0.999019837742813,0.997510776769312,0.991489359593679
"Fresador.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Fresador",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fresador.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Fresador",1,1,0.996695525421123,0.978868155868854,0.997685971319709,0.998508143429964,0.976041832088987,0.966069351585619,0.996930961317305,1,1,1,0.999019837742813,0.997510776769312,0.991489359593679
"pieza.NVACost","TALLY AVERAGE","NVA Cost","Entity","pieza",2.56368666803321,2.17232058976995,2.36731025139895,2.18469269641238,2.29504713586962,2.04000246954524,2.4520293808272,2.45657846096047,2.08736439465545,2.22157070081835,2.20076844737338,2.31737729672554,2.16805356176818,2.11936859155912,2.38851090762847
"pieza.NVATime","TALLY AVERAGE","NVA Time","Entity","pieza",0.233062424366655,0.197483689979086,0.21521002285445,0.19860842694658,0.20864064871542,0.185454769958658,0.222911761893382,0.22332531463277,0.189760399514132,0.201960972801668,0.200069858852125,0.210670663338685,0.197095778342561,0.19266987195992,0.217137355238952
"pieza.OtherCost","TALLY AVERAGE","Other Cost","Entity","pieza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pieza.OtherTime","TALLY AVERAGE","Other Time","Entity","pieza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pieza.TotalCost","TALLY AVERAGE","Total Cost","Entity","pieza",35.4937966185942,31.1900153813524,28.8910657326446,30.8227076108862,31.6793075592313,30.5031952509138,32.2825640881862,31.186139025451,29.9003168811106,32.5287000655338,34.9790082871196,35.6115383925972,33.7633738488741,29.5440084105624,34.0180372965252
